"","species","year","treatment","n"
"1","denpun",2006,1,1149
"2","gaupro",2006,1,669
"3","maican",2006,1,837
"4","mitrep",2006,1,659
"5","denpun",2007,1,961
"6","gaupro",2007,1,570
"7","maican",2007,1,548
"8","mitrep",2007,1,799
"9","denpun",2008,1,681
"10","gaupro",2008,1,475
"11","maican",2008,1,375
"12","mitrep",2008,1,425
"13","denpun",2009,1,650
"14","gaupro",2009,1,372
"15","maican",2009,1,829
"16","mitrep",2009,1,419
"17","denpun",2006,2,1551
"18","gaupro",2006,2,661
"19","maican",2006,2,692
"20","mitrep",2006,2,611
"21","denpun",2007,2,690
"22","gaupro",2007,2,546
"23","maican",2007,2,379
"24","mitrep",2007,2,691
"25","denpun",2008,2,140
"26","gaupro",2008,2,202
"27","maican",2008,2,248
"28","mitrep",2008,2,398
"29","denpun",2009,2,73
"30","gaupro",2009,2,149
"31","maican",2009,2,583
"32","mitrep",2009,2,144
"33","denpun",2006,3,1240
"34","gaupro",2006,3,714
"35","maican",2006,3,658
"36","mitrep",2006,3,498
"37","denpun",2007,3,554
"38","gaupro",2007,3,687
"39","maican",2007,3,438
"40","mitrep",2007,3,456
"41","denpun",2008,3,171
"42","gaupro",2008,3,336
"43","maican",2008,3,343
"44","mitrep",2008,3,314
"45","denpun",2009,3,95
"46","gaupro",2009,3,160
"47","maican",2009,3,907
"48","mitrep",2009,3,114
"49","denpun",2006,4,1437
"50","gaupro",2006,4,460
"51","maican",2006,4,1005
"52","mitrep",2006,4,389
"53","denpun",2007,4,1366
"54","gaupro",2007,4,399
"55","maican",2007,4,609
"56","mitrep",2007,4,322
"57","denpun",2008,4,959
"58","gaupro",2008,4,258
"59","maican",2008,4,486
"60","mitrep",2008,4,307
"61","denpun",2009,4,912
"62","gaupro",2009,4,274
"63","maican",2009,4,650
"64","mitrep",2009,4,366
